[NonFaller\3\Closed\patient3closeEyes.txt]
600 samples
24 Markov chains

(1,1)(2,3)(2,3)(1,2)(1,1)(1,2)(2,2)(1,2)(1,1)(2,3)(1,2)(2,3)(2,4)(2,3)(2,6)(1,1)(4,6)(1,2)(1,2)(1,1)(1,1)(1,2)(2,3)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,2)(1,3)(1,3)(1,1)(1,3)(1,3)(1,4)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,4)(2,7)(2,6)(2,6)(2,4)(1,1)(2,3)(1,2)
(1,2)(2,2)(2,2)(1,1)(1,1)(1,1)(1,1)(1,2)(3,5)(2,6)(1,5)(1,4)(1,1)(1,4)(1,3)(1,2)(2,2)(2,2)(2,2)(3,4)(3,3)(2,3)(1,1)(3,4)(4,7)(5,9)
(5,9)(3,7)(1,2)(1,2)(1,1)(1,2)(1,3)(1,2)(1,1)(1,2)(1,4)(1,5)(1,4)(1,3)(1,1)(1,1)(2,2)(2,4)(3,8)(2,5)(4,7)(2,6)(2,6)(1,3)(1,1)(1,3)
(1,3)(1,4)(1,3)(2,2)(2,2)(2,2)(1,1)(1,2)(1,3)(1,1)(2,3)(2,3)(1,1)(1,3)(1,2)(1,2)(1,2)(1,1)(2,2)(2,4)(1,4)(1,1)(1,3)(1,5)(1,3)(1,2)
(1,2)(1,2)(1,2)(1,4)(1,4)(1,5)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,3)(1,4)(1,4)(1,4)(1,3)(1,1)(1,2)(1,3)(1,3)(1,4)(1,4)(1,3)(1,1)
(1,1)(1,4)(1,6)(2,6)(1,3)(2,4)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,4)(1,5)(1,6)(1,6)(2,6)(2,2)(1,3)(1,4)(2,4)(1,2)
(1,2)(1,1)(2,3)(1,2)(3,4)(2,3)(1,3)(1,4)(1,5)(1,5)(1,3)(1,2)(1,2)(1,3)(2,2)(2,3)(2,3)(1,3)(2,3)(1,2)(1,1)(1,1)(1,3)(1,4)(1,3)(1,2)
(1,2)(1,2)(1,1)(1,1)(2,2)(3,3)(1,2)(1,2)(2,3)(2,4)(2,4)(2,3)(2,2)(1,1)(1,2)(1,1)(1,1)(2,2)(1,1)(1,2)(1,4)(2,3)(2,4)(3,5)(2,3)(1,1)
(1,1)(1,2)(2,3)(2,4)(1,1)(3,4)(4,6)(3,5)(2,3)(2,2)(1,2)(2,3)(1,5)(1,3)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(2,3)(2,2)(3,3)(4,5)(3,4)
(3,4)(2,2)(2,3)(2,5)(2,5)(2,5)(1,2)(2,2)(1,1)(1,2)(1,3)(1,3)(1,1)(2,4)(1,4)(1,3)(1,2)(1,3)(2,4)(1,3)(1,2)(1,2)(1,1)(2,2)(1,1)(1,4)
(1,4)(1,5)(1,6)(1,5)(1,2)(2,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,4)(1,4)(1,3)(1,1)(1,3)(1,4)(1,5)(1,4)(1,4)(1,3)(1,4)(1,4)(1,3)
(1,3)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,4)(1,6)(1,7)(1,4)(1,2)(1,2)(1,1)(1,2)(1,1)(1,2)(1,3)(1,6)(1,6)(1,3)(1,1)(1,2)(1,2)(1,1)(1,3)
(1,3)(1,5)(1,5)(1,3)(1,4)(1,4)(3,5)(3,5)(2,4)(1,3)(1,3)(2,2)(3,4)(4,4)(3,3)(3,4)(2,4)(2,3)(2,2)(1,3)(1,3)(1,2)(1,1)(2,2)(3,4)(3,5)
(3,5)(2,3)(1,1)(2,2)(1,1)(2,3)(3,4)(2,2)(1,2)(2,3)(3,4)(2,4)(3,5)(3,4)(5,6)(5,6)(6,5)(4,4)(3,1)(1,1)(3,2)(10,4)(10,5)(10,5)(6,4)(6,5)
(6,5)(5,7)(4,10)(3,9)(3,7)(2,3)(1,1)(1,2)(1,4)(3,5)(1,4)(1,4)(1,5)(1,6)(2,7)(1,5)(4,3)(4,3)(2,1)(1,1)(2,3)(4,4)(4,7)(3,8)(1,7)(1,4)
(1,4)(1,2)(1,2)(1,3)(1,3)(1,4)(1,5)(2,3)(2,2)(1,2)(1,2)(1,2)(1,5)(1,6)(1,5)(1,2)(1,1)(1,2)(1,3)(1,4)(1,5)(1,6)(1,5)(1,4)(2,3)(1,4)
(1,4)(1,4)(1,3)(1,2)(1,4)(1,3)(1,4)(2,3)(2,3)(2,5)(2,7)(1,9)(1,7)(2,2)(2,4)(1,5)(1,5)(1,3)(1,3)(1,3)(1,3)(1,1)(1,3)(1,8)(1,8)(1,5)
(1,5)(1,3)(1,4)(1,3)(1,4)(1,4)(1,1)(1,2)(1,1)(1,1)(1,1)(2,1)(2,2)(1,2)(1,3)(1,2)(1,2)(1,5)(1,3)(1,2)(1,3)(2,4)(2,3)(2,2)(3,3)(4,5)
