[NonFaller\40\Closed\patient40closeEyes.txt]
625 samples
25 Markov chains

(1,1)(2,5)(2,4)(1,2)(1,2)(1,4)(1,5)(3,6)(3,5)(2,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(7,5)(10,5)(6,2)(6,2)(7,3)(3,2)(2,1)(2,2)(7,6)
(7,6)(4,6)(2,5)(1,3)(2,2)(2,5)(2,5)(1,1)(1,6)(2,7)(1,2)(3,4)(3,4)(2,6)(2,2)(1,9)(1,9)(1,1)(1,2)(1,2)(1,3)(1,3)(1,2)(1,5)(1,7)(1,4)
(1,4)(1,2)(3,1)(3,1)(3,1)(2,3)(3,5)(1,3)(1,1)(1,3)(1,5)(1,4)(1,3)(1,2)(1,2)(1,1)(1,1)(1,4)(1,5)(1,2)(1,2)(1,1)(1,2)(1,4)(1,5)(1,3)
(1,3)(1,1)(1,1)(1,1)(1,2)(2,3)(2,4)(2,4)(1,1)(1,2)(1,2)(1,1)(1,1)(2,2)(3,3)(2,2)(2,2)(1,2)(2,2)(1,3)(3,6)(2,5)(1,3)(1,3)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,5)(3,8)(6,0)(3,4)(1,1)(2,2)(3,3)(3,3)(2,2)(1,1)(2,2)(3,4)(1,2)(1,2)(1,1)(4,7)(3,7)(2,2)(1,2)
(1,2)(2,2)(2,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(2,4)(3,6)(4,4)(1,1)(1,1)(1,1)(4,7)(3,10)(1,4)(1,2)(1,2)(2,2)(1,1)(1,2)(1,2)(1,2)
(1,2)(2,2)(1,2)(1,2)(2,3)(2,4)(3,4)(1,2)(1,2)(1,4)(2,5)(2,2)(1,2)(1,3)(2,4)(1,4)(1,4)(1,3)(1,3)(1,5)(2,5)(1,1)(1,2)(1,1)(1,1)(1,2)
(1,2)(1,3)(1,3)(1,1)(1,4)(1,3)(1,3)(2,5)(1,2)(3,7)(2,5)(1,4)(1,7)(1,5)(2,2)(1,3)(1,4)(2,5)(1,4)(4,2)(1,1)(1,3)(1,3)(1,1)(1,4)(1,6)
(1,6)(1,6)(1,1)(1,3)(1,1)(1,2)(1,2)(1,3)(2,3)(2,2)(1,2)(1,2)(1,4)(1,1)(1,4)(1,2)(1,2)(1,1)(1,3)(1,3)(1,1)(1,2)(1,3)(1,4)(1,5)(1,2)
(1,2)(1,1)(2,2)(1,3)(1,3)(1,3)(1,4)(1,3)(1,1)(1,3)(1,4)(1,1)(1,3)(1,3)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,1)(1,4)(1,1)(2,3)(1,2)(1,2)
(1,2)(1,1)(1,2)(2,4)(2,5)(1,3)(1,1)(1,2)(3,3)(3,4)(2,2)(1,2)(1,2)(1,2)(1,2)(1,2)(2,4)(2,4)(1,3)(1,2)(1,2)(1,2)(2,5)(1,2)(1,4)(1,3)
(1,3)(1,2)(1,3)(1,2)(1,5)(1,4)(1,2)(2,5)(1,2)(1,2)(1,2)(1,4)(1,2)(1,3)(1,5)(1,4)(1,2)(1,3)(1,2)(1,5)(1,1)(1,7)(1,4)(1,3)(1,2)(1,1)
(1,1)(1,1)(1,2)(1,4)(1,4)(1,3)(1,3)(1,3)(1,1)(2,3)(2,3)(2,2)(1,2)(1,2)(2,2)(1,4)(1,6)(1,3)(1,2)(1,4)(1,3)(1,2)(1,1)(1,3)(1,3)(1,3)
(1,3)(1,3)(1,3)(1,4)(1,1)(1,3)(1,1)(1,3)(1,3)(1,2)(1,4)(1,4)(1,1)(1,3)(1,2)(1,2)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,4)(1,7)(1,6)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,1)(1,1)(1,1)(2,5)(2,4)(1,2)(1,3)(1,1)(1,2)(1,1)(1,4)(1,4)(1,2)(2,3)(2,3)(1,1)(1,1)(1,2)(1,5)
(1,5)(1,4)(1,1)(1,2)(1,2)(1,8)(1,6)(1,2)(1,5)(1,5)(1,3)(1,1)(1,2)(1,1)(1,3)(1,1)(1,7)(1,8)(1,3)(1,2)(1,1)(1,2)(1,2)(1,4)(1,1)(1,2)
(1,2)(1,3)(1,4)(1,3)(1,8)(1,2)(1,8)(1,7)(1,2)(1,3)(1,6)(2,6)(1,1)(1,2)(1,2)(1,3)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,4)(1,3)
