@RELATION Falls
@ATTRIBUTE class {Faller,NonFaller}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@DATA
Faller,0.000000,0.100628,0.246507,0.300470,0.178992,0.095034,0.043173,0.013040,0.014285,0.004723,0.003149,56.883473,1.231079,0.000000,0.084617,0.214065,0.254676,0.160659,0.135899,0.093949,0.033802,0.014945,0.005924,0.001465,153.369289,0.842957
Faller,0.000000,0.195080,0.250374,0.195383,0.138364,0.094248,0.056474,0.030783,0.025924,0.010027,0.003342,20.477047,0.711958,0.000000,0.202979,0.277616,0.213170,0.145938,0.101190,0.044143,0.007337,0.003051,0.001525,0.003051,19.987986,0.879657
Faller,0.000000,0.172640,0.221362,0.185246,0.160948,0.069127,0.048877,0.016842,0.004573,0.050191,0.070194,5.129031,1.320562,0.000000,0.352554,0.316658,0.175919,0.069251,0.050746,0.015195,0.006018,0.004553,0.005691,0.003414,8.219154,2.951634
Faller,0.000000,0.291528,0.325980,0.163953,0.099642,0.061064,0.037326,0.010871,0.003212,0.003212,0.003212,2.110808,0.534960,0.001659,0.219338,0.276475,0.176411,0.125335,0.093980,0.055802,0.042848,0.004833,0.000000,0.003318,2.308844,0.775809
Faller,0.001276,0.184548,0.254829,0.182176,0.154036,0.110448,0.051643,0.030422,0.012760,0.012760,0.005104,21.714285,0.733406,0.000000,0.222145,0.276504,0.224167,0.144672,0.080616,0.030061,0.014519,0.002666,0.001163,0.003488,31.203534,0.845153
NonFaller,0.000000,0.146269,0.246234,0.242210,0.190938,0.078288,0.065268,0.019556,0.006421,0.001605,0.003210,7.363718,0.995468,0.000000,0.209388,0.273676,0.199132,0.147750,0.083096,0.049015,0.022229,0.004286,0.008571,0.002857,10.223968,1.596864
NonFaller,0.000000,0.267118,0.360019,0.187856,0.086138,0.059003,0.017542,0.007973,0.004784,0.004784,0.004783,7.529563,0.658570,0.000000,0.277403,0.342474,0.234309,0.074577,0.031653,0.022167,0.007917,0.003167,0.000000,0.006333,18.286329,1.424840
NonFaller,0.001677,0.310707,0.369391,0.162020,0.072255,0.040336,0.015097,0.005032,0.010065,0.006710,0.006710,164.205674,1.842273,0.000000,0.221275,0.341821,0.220525,0.126245,0.051065,0.023709,0.010794,0.001799,0.001383,0.001383,117.734122,1.492044
NonFaller,0.000000,0.131647,0.203060,0.213463,0.174341,0.101289,0.084134,0.045782,0.028482,0.010681,0.007121,3.628671,0.726825,0.000000,0.233352,0.272935,0.207478,0.107488,0.076901,0.050342,0.018541,0.008241,0.019017,0.005705,13.385448,2.018975
NonFaller,0.000000,0.097426,0.246682,0.230302,0.195795,0.094393,0.045905,0.041803,0.030244,0.014540,0.002908,7.114580,0.488892,0.000000,0.202486,0.247405,0.206688,0.119854,0.057296,0.070695,0.047945,0.028801,0.013440,0.005390,28.362472,1.553022
NonFaller,0.000000,0.188702,0.330013,0.255560,0.134270,0.041244,0.016139,0.019726,0.007173,0.003586,0.003586,70.136008,1.150322,0.000000,0.114473,0.286181,0.198088,0.149586,0.123250,0.077060,0.023705,0.016163,0.007543,0.003951,138.129746,1.692672
NonFaller,0.000000,0.238815,0.344915,0.211482,0.115244,0.047208,0.025601,0.006439,0.006221,0.000000,0.004075,30.144434,2.666171,0.000000,0.166638,0.351732,0.206145,0.128074,0.074735,0.040021,0.017402,0.004332,0.008742,0.002179,72.473391,2.790356
NonFaller,0.000000,0.109020,0.151356,0.213362,0.172078,0.136527,0.078933,0.070859,0.023310,0.014290,0.030264,21.962279,0.308921,0.000000,0.146546,0.339027,0.253189,0.123703,0.060844,0.039151,0.007029,0.011715,0.004699,0.014095,34.949874,0.570698
NonFaller,0.000000,0.241894,0.337210,0.229716,0.073994,0.054496,0.034903,0.014824,0.007404,0.001850,0.003710,12.180087,1.655351,0.000000,0.183828,0.302815,0.189338,0.124873,0.100975,0.064626,0.008986,0.003826,0.012958,0.007775,16.242438,1.978916
