[NonFaller\46\Closed\patient46closeEyes.txt]
625 samples
25 Markov chains

(7,2)(0,3)(8,3)(3,3)(1,3)(2,2)(2,2)(1,2)(3,3)(2,3)(2,2)(2,3)(2,4)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)(1,3)(1,3)(1,1)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,4)(2,6)(2,5)(1,2)(1,2)(2,2)(2,2)(1,2)(1,2)(2,3)(2,3)(1,2)(1,2)(1,2)(1,2)(2,2)(2,2)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(2,2)(3,5)(3,4)(3,3)(2,2)(1,1)(1,2)(1,2)(1,1)(2,2)(2,2)(1,2)
(1,2)(1,1)(1,1)(2,3)(3,4)(3,4)(3,4)(2,2)(1,1)(1,1)(2,3)(3,3)(3,3)(2,2)(1,2)(2,2)(3,3)(2,2)(1,1)(1,1)(1,1)(2,2)(4,3)(5,4)(8,6)(6,7)
(6,7)(4,7)(1,3)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(2,2)(1,2)(2,2)(2,3)(2,3)(3,3)(2,2)(2,2)(1,2)(2,2)(3,2)(3,3)(1,1)(1,1)(2,2)(2,2)(4,3)
(4,3)(3,2)(1,1)(1,1)(2,1)(2,2)(2,3)(2,3)(2,2)(3,3)(2,2)(1,1)(1,2)(1,2)(1,2)(1,1)(1,2)(2,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(2,3)(5,6)(8,6)(6,3)(3,2)(4,3)(2,2)(1,1)(3,2)(3,2)(2,2)(1,1)(1,1)(2,1)(3,2)(5,4)(5,4)(3,4)(3,4)(3,4)(3,4)(2,4)(1,4)
(1,4)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,3)(1,5)(1,4)(1,2)(1,2)(1,2)(1,3)(1,4)(1,3)(2,3)(1,2)(1,3)(1,3)(3,4)
(3,4)(3,2)(4,2)(7,4)(5,3)(5,3)(2,2)(2,2)(1,2)(1,1)(1,1)(4,3)(4,3)(3,4)(3,4)(3,5)(3,5)(2,4)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(2,2)(2,4)(2,4)(1,2)(1,2)(2,2)(2,3)(2,4)(2,4)(2,4)(3,4)(1,2)(1,1)(2,2)(3,3)(3,4)(2,3)(2,3)(1,2)(2,3)(2,4)(2,5)(1,4)
(1,4)(1,4)(1,4)(1,3)(1,1)(1,3)(2,4)(1,2)(1,1)(1,1)(1,3)(2,5)(3,6)(2,5)(1,3)(2,3)(3,5)(4,5)(3,3)(2,3)(1,2)(2,2)(1,1)(1,1)(3,3)(4,4)
(4,4)(4,5)(4,6)(3,6)(2,5)(2,6)(1,5)(1,5)(1,3)(1,2)(1,4)(1,2)(1,1)(1,1)(3,5)(4,8)(6,0)(5,7)(3,3)(1,2)(1,1)(1,1)(1,2)(1,1)(2,2)(3,4)
(3,4)(2,3)(1,1)(1,2)(2,2)(2,3)(1,2)(1,2)(1,2)(2,2)(3,3)(2,2)(1,1)(1,1)(1,1)(1,1)(2,2)(2,3)(2,3)(2,3)(1,3)(1,2)(1,1)(1,2)(2,2)(2,3)
(2,3)(3,4)(3,4)(1,1)(1,1)(1,1)(1,2)(1,2)(2,3)(1,3)(1,1)(1,2)(2,3)(1,2)(1,2)(2,3)(2,4)(2,3)(2,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,1)(1,2)(2,2)(2,2)(2,2)(3,3)(3,3)(1,2)(1,1)(2,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)
(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(2,2)(1,1)(1,2)(1,2)(2,2)(1,2)(1,2)(1,2)(2,3)(2,3)(1,1)(1,1)(1,2)(3,3)(3,3)(3,3)
(3,3)(2,2)(1,1)(1,2)(2,3)(2,2)(1,2)(2,3)(2,3)(1,3)(1,2)(1,2)(2,3)(1,2)(1,2)(1,1)(1,2)(2,3)(2,3)(1,2)(1,2)(1,2)(2,3)(3,4)(3,4)(2,3)
(2,3)(1,1)(1,1)(1,2)(2,2)(1,2)(1,2)(1,2)(1,1)(2,3)(2,3)(3,4)(3,4)(2,3)(1,1)(1,2)(1,2)(2,2)(2,3)(2,4)(2,5)(2,5)(2,5)(1,3)(1,2)(2,4)
(2,4)(2,3)(1,1)(1,1)(1,3)(2,4)(2,4)(2,4)(2,3)(1,1)(1,1)(1,1)(1,1)(1,2)(2,4)(2,2)(1,2)(1,2)(1,2)(1,2)(2,3)(1,2)(1,1)(1,1)(1,2)(2,3)
(2,3)(2,3)(2,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(2,3)(2,3)(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(2,2)(1,1)(1,2)(1,1)(1,2)(2,2)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(2,2)(1,2)(1,1)(1,1)(1,1)(2,2)(1,2)(1,2)(1,2)(2,2)(2,3)(2,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(3,3)(4,5)(4,5)(2,3)(1,1)(2,2)(2,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(2,2)(2,3)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(2,4)(2,3)(2,4)(2,3)(1,2)(1,2)(1,1)(1,2)(2,2)(2,3)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,2)(1,2)(2,3)(2,3)(2,3)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(2,2)(2,2)(1,1)(1,2)(1,2)(1,1)(1,2)(2,3)(2,3)
__________________________________________________________________________________________
