[NonFaller\2\Closed\patient2closeEyes.txt]
600 samples
24 Markov chains

(5,2)(5,2)(3,3)(1,2)(1,2)(2,1)(3,2)(5,4)(5,5)(6,6)(5,7)(4,6)(2,5)(2,4)(3,2)(3,1)(4,2)(4,2)(2,1)(2,2)(1,3)(3,5)(4,7)(4,10)(4,10)(3,10)
(3,10)(1,7)(1,5)(2,2)(2,2)(1,3)(1,3)(3,4)(4,4)(4,4)(3,3)(2,3)(1,4)(2,5)(3,5)(3,6)(4,6)(5,6)(7,6)(7,5)(7,4)(8,4)(7,3)(6,3)(5,3)(3,3)
(3,3)(1,3)(3,3)(7,4)(9,3)(10,3)(10,3)(10,3)(7,3)(5,3)(3,3)(1,2)(1,2)(1,2)(1,2)(2,2)(2,2)(4,2)(5,3)(5,4)(4,4)(5,4)(4,4)(3,3)(4,2)(3,2)
(3,2)(1,1)(2,1)(4,2)(6,2)(7,3)(6,3)(6,4)(5,4)(3,3)(1,2)(1,1)(2,1)(3,2)(3,2)(2,2)(2,2)(3,2)(3,2)(2,1)(2,2)(1,3)(1,3)(2,2)(1,2)(1,1)
(1,1)(2,1)(3,2)(2,2)(2,2)(2,2)(1,2)(1,1)(1,1)(1,2)(1,2)(2,2)(3,2)(5,2)(6,3)(5,4)(4,4)(3,4)(1,3)(2,2)(3,2)(3,2)(3,2)(3,2)(2,2)(1,2)
(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,1)(1,1)(2,2)(1,2)(2,3)(2,3)(1,3)(1,2)(1,1)(2,1)(3,2)(3,2)(3,2)(2,2)(1,1)(2,1)(3,2)(3,2)(3,2)
(3,2)(2,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(2,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(2,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,1)(2,1)(2,1)(2,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(2,3)(1,3)(1,3)(1,2)(1,1)(3,2)(4,3)(4,4)(3,3)
(3,3)(2,2)(1,1)(2,1)(3,2)(3,2)(3,3)(3,3)(3,3)(4,3)(4,3)(3,2)(2,1)(1,1)(2,2)(3,3)(4,4)(3,4)(2,3)(2,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,1)(2,1)(2,1)(2,1)(1,1)(1,1)(2,1)(2,1)(1,1)(1,1)(2,2)(2,2)(3,2)(2,2)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(2,2)(2,2)(2,2)(1,2)(2,2)(2,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)(2,3)(2,4)
(2,4)(2,3)(3,3)(4,3)(3,2)(2,2)(2,2)(1,2)(1,3)(1,3)(1,3)(1,4)(1,4)(3,4)(2,3)(3,3)(4,2)(2,2)(1,2)(1,2)(1,2)(2,1)(3,2)(3,2)(2,2)(3,2)
(3,2)(2,2)(2,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(2,2)(2,2)(2,2)(3,3)(3,3)(2,3)(2,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)
(1,1)(1,1)(2,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(2,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)
(1,3)(1,3)(2,3)(1,3)(2,3)(2,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(2,3)(2,3)(1,3)(1,2)(1,1)(1,1)(1,1)(2,2)(2,2)(2,2)(3,2)(3,2)(3,2)
(3,2)(3,2)(2,2)(2,3)(2,3)(1,2)(1,1)(1,1)(1,2)(2,3)(3,4)(3,4)(3,3)(3,3)(3,2)(3,2)(3,2)(3,2)(2,2)(2,1)(1,1)(1,2)(1,2)(1,3)(2,3)(2,3)
(2,3)(2,3)(2,3)(2,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(2,2)(3,2)(3,2)(3,3)(3,2)(2,2)(2,1)(1,1)(1,1)(1,1)
(1,1)(2,2)(2,2)(2,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(2,1)(2,2)(2,1)(1,1)(1,1)(1,2)(2,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(2,2)(2,2)(1,1)(2,2)(2,2)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(2,2)(2,1)(1,1)(2,2)(1,2)(1,2)(1,2)(1,1)(2,2)(2,2)
(2,2)(2,2)(2,2)(2,2)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(2,2)(1,2)(1,2)(1,2)(1,2)(2,2)(2,2)(2,3)(2,3)(2,3)(2,3)
(2,3)(2,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)(2,1)(2,2)(3,2)(3,2)(3,2)(2,2)(2,2)(1,3)(1,3)(1,2)
(1,2)(1,2)(2,2)(2,2)(2,2)(2,2)(2,2)(1,2)(1,2)(1,2)(1,1)(2,1)(2,2)(1,1)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(2,2)(2,2)(3,2)(3,2)(3,2)(2,2)
(2,2)(1,2)(1,2)(1,2)(1,2)(1,2)(2,1)(2,2)(2,2)(3,2)(3,2)(3,2)(2,3)(2,3)(2,3)(2,3)(1,2)(1,2)(2,2)(3,2)
__________________________________________________________________________________________
