Faller : False
Time X Y
0.0 -0.671557413294 -1.09111837927
40.0 -0.715702481711 -1.09823701582
80.0 -0.843612938521 -1.09943943879
120.0 -0.992928934392 -1.12918838858
160.0 -1.13489136302 -1.21682546951
200.0 -1.28097969028 -1.26723541803
240.0 -1.49875771558 -1.2172892335
280.0 -1.6779206319 -1.09470946194
320.0 -1.77942241769 -0.91506162591
360.0 -1.8211808556 -0.81747907008
400.0 -1.84589500848 -0.828161173473
440.0 -1.81895896682 -0.861183173086
480.0 -1.74077002857 -0.89364367044
520.0 -1.62965676301 -0.965848627991
560.0 -1.56986555406 -1.09468552886
600.0 -1.62018160547 -1.23195189288
640.0 -1.7229697395 -1.31350834191
680.0 -1.82505483656 -1.42642923591
720.0 -1.91313158536 -1.50175423911
760.0 -2.01638423815 -1.48939192008
800.0 -2.11444973394 -1.42829496572
840.0 -2.14999407254 -1.31400358899
880.0 -2.05319437579 -1.14684306376
920.0 -1.96997437396 -0.959411099091
960.0 -1.98610256758 -0.810972951672
1000.0 -2.06701313355 -0.711720054675
1040.0 -2.10552306264 -0.565726219809
1080.0 -2.0490834505 -0.379990091948
1120.0 -2.00146286115 -0.213240587047
1160.0 -1.98537855395 -0.208333333248
1200.0 -2.01533713005 -0.284655817787
1240.0 -2.12995009721 -0.35807958691
1280.0 -2.23855902378 -0.455242667989
1320.0 -2.29230275647 -0.57535015714
1360.0 -2.3494433617 -0.674153273488
1400.0 -2.40112227442 -0.740480139684
1440.0 -2.43403374294 -0.767853644703
1480.0 -2.35038308703 -0.715596837749
1520.0 -2.25752840661 -0.650073025358
1560.0 -2.21701354038 -0.680907036232
1600.0 -2.25787191835 -0.775515657165
1640.0 -2.36531617548 -0.83642069436
1680.0 -2.44359281997 -0.905883410893
1720.0 -2.47273844322 -0.878413874167
1760.0 -2.47391969792 -0.790858133229
1800.0 -2.41985779669 -0.684678750717
1840.0 -2.31224262892 -0.585525550951
1880.0 -2.18633005041 -0.507708018157
1920.0 -2.12154244278 -0.46133889402
1960.0 -2.1539545396 -0.427678314426
2000.0 -2.25226484213 -0.400027053786
2040.0 -2.34798909125 -0.398041465183
2080.0 -2.39029432297 -0.383856368413
2120.0 -2.38277778858 -0.290575755381
2160.0 -2.38396100294 -0.174210395153
2200.0 -2.36786430295 -0.044509813459
2240.0 -2.30846098998 0.135065911597
2280.0 -2.25969226543 0.263719496381
2320.0 -2.18866147206 0.364917850278
2360.0 -2.04759823119 0.460117034316
2400.0 -1.91599165353 0.531552828041
2440.0 -1.8491906083 0.545682552015
2480.0 -1.8215984264 0.536040828793
2520.0 -1.78068065582 0.528535823955
2560.0 -1.73325965935 0.487620744575
2600.0 -1.74451589553 0.424527035723
2640.0 -1.80796076222 0.357316052816
2680.0 -1.93858059082 0.271887781429
2720.0 -2.06108838931 0.139174489855
2760.0 -2.08025974031 0.0821508230153
2800.0 -2.07430819508 0.119345239108
2840.0 -2.09176879973 0.118645551847
2880.0 -2.13046453703 0.0582899282388
2920.0 -2.13481935084 -0.0366701573266
2960.0 -2.09025771763 -0.119019960772
3000.0 -2.01120929671 -0.1836125176
3040.0 -1.92406068602 -0.223448323216
3080.0 -1.91654985723 -0.215711459043
3120.0 -1.99791602693 -0.151964459299
3160.0 -2.07861423795 -0.0871596175476
3200.0 -2.14627622289 0.00923315463074
3240.0 -2.20465850697 0.0830904000298
3280.0 -2.26268814109 0.119079902608
3320.0 -2.3021171456 0.158134663361
3360.0 -2.28956824934 0.178142800848
3400.0 -2.24441107537 0.152217411685
3440.0 -2.19456238794 0.0786190336722
3480.0 -2.10919001568 -0.0166777552224
3520.0 -1.99598005153 -0.120543597015
3560.0 -1.93542074775 -0.221516234603
3600.0 -1.94371305661 -0.294591616213
3640.0 -1.99365992464 -0.343432548215
3680.0 -2.05962558013 -0.391569725216
