[0],0.000000,0.177015,0.281998,0.223985,0.116514,0.089781,0.072652,0.017063,0.009530,0.005731,0.005731,13.025814,1.570103,0.000000,0.143513,0.291396,0.165744,0.148757,0.120977,0.055665,0.032421,0.019932,0.009966,0.011627,5.193774,1.021710
[1],0.000000,0.108135,0.212207,0.261396,0.185439,0.110402,0.036150,0.034519,0.034486,0.009591,0.007673,27.497582,3.581446,0.000000,0.084660,0.193246,0.173977,0.189231,0.157185,0.090650,0.060077,0.027308,0.014564,0.009103,104.454812,8.516645
[10],0.000000,0.090919,0.194171,0.263252,0.179035,0.126523,0.078798,0.036051,0.016164,0.011854,0.003233,25.039188,0.836323,0.000000,0.182292,0.254125,0.204460,0.151468,0.065674,0.067549,0.020713,0.024076,0.018797,0.010845,77.493510,2.355920
[11],0.000000,0.152544,0.343839,0.174795,0.158730,0.060740,0.043081,0.033086,0.016775,0.010443,0.005967,159.472563,1.950140,0.000000,0.156131,0.326922,0.188703,0.100916,0.102664,0.039301,0.031782,0.017450,0.022988,0.013143,171.945011,3.110263
[12],0.000000,0.173604,0.309253,0.267418,0.172225,0.042650,0.015486,0.010307,0.005536,0.002085,0.001436,27.432422,1.253911,0.000000,0.567064,0.338383,0.068388,0.009816,0.004086,0.002043,0.000000,0.004087,0.000000,0.006133,76.224254,4.107969
[13],0.000000,0.156253,0.308790,0.233121,0.122091,0.072062,0.049392,0.027424,0.017147,0.009147,0.004574,17.951980,1.569172,0.000000,0.086156,0.174286,0.172119,0.173967,0.134901,0.122437,0.052943,0.040633,0.026369,0.016190,15.017138,1.539170
[14],0.000000,0.177435,0.258525,0.181755,0.135480,0.080300,0.075918,0.063944,0.015986,0.005329,0.005329,53.109602,1.752018,0.001693,0.064920,0.179302,0.218261,0.171015,0.147359,0.078957,0.066995,0.049494,0.013541,0.008463,147.230104,2.698901
[15],0.000000,0.091755,0.166280,0.219836,0.220961,0.146319,0.077057,0.049129,0.021318,0.003468,0.003876,14.221700,1.589438,0.000000,0.210317,0.286485,0.207278,0.148415,0.056502,0.042411,0.024295,0.004049,0.011569,0.008677,78.341298,2.979251
[16],0.000000,0.331003,0.387066,0.133429,0.056857,0.048261,0.023300,0.007758,0.003522,0.001761,0.007043,141.972246,1.301232,0.000000,0.129544,0.293754,0.231101,0.169431,0.094323,0.047243,0.019377,0.008305,0.001384,0.005536,167.755819,1.523998
[17],0.000000,0.152715,0.312357,0.238389,0.125044,0.081730,0.028851,0.019234,0.025648,0.009618,0.006412,41.051377,2.389804,0.000000,0.110567,0.207503,0.240362,0.141537,0.107310,0.061416,0.061484,0.036573,0.014962,0.018287,103.688608,4.482138
